iter	Passed	Remaining
0	7	1519
1	12	1261
2	17	1143
3	25	1233
4	29	1165
5	37	1210
6	42	1178
7	49	1178
8	55	1168
9	60	1155
10	65	1124
11	71	1116
12	75	1092
13	80	1073
14	87	1077
15	92	1058
16	97	1045
17	103	1044
18	108	1032
19	113	1024
20	118	1011
21	123	1000
22	129	994
23	134	983
24	138	971
25	148	993
26	153	983
27	159	979
28	165	973
29	170	964
30	177	969
31	183	962
32	188	955
33	194	950
34	199	942
35	207	946
36	212	938
37	218	929
38	224	926
39	229	917
40	234	908
41	239	901
42	244	892
43	249	885
44	255	880
45	260	872
46	267	871
47	272	863
48	277	855
49	284	852
50	288	844
51	294	836
52	299	831
53	304	823
54	309	816
55	316	813
56	321	806
57	326	799
58	333	795
59	337	788
60	342	781
61	348	775
62	354	771
63	360	766
64	365	759
65	370	752
66	377	750
67	383	745
68	391	743
69	394	731
70	399	725
71	405	720
72	412	717
73	418	712
74	424	707
75	430	702
76	437	699
77	443	692
78	448	686
79	455	683
80	461	677
81	467	672
82	471	665
83	477	659
84	483	653
85	488	647
86	493	640
87	499	636
88	506	631
89	513	627
90	518	621
91	524	616
92	531	611
93	536	605
94	542	599
95	547	592
96	553	587
97	559	582
98	564	576
99	569	569
100	577	565
101	582	559
102	587	553
103	593	548
104	598	541
105	604	536
106	611	531
107	616	525
108	623	520
109	626	512
110	631	506
111	640	503
112	645	497
113	651	491
114	656	485
115	661	479
116	667	473
117	672	467
118	677	461
119	683	455
120	688	449
121	693	443
122	701	439
123	707	433
124	714	428
125	719	422
126	725	417
127	731	411
128	736	405
129	742	399
130	748	394
131	753	388
132	755	380
133	762	375
134	767	369
135	772	363
136	778	358
137	783	352
138	789	346
139	794	340
140	799	334
141	804	328
142	810	323
143	815	317
144	822	312
145	828	306
146	834	300
147	842	295
148	848	290
149	855	285
150	861	279
151	867	274
152	876	269
153	885	264
154	891	258
155	897	253
156	904	247
157	910	241
158	916	236
159	922	230
160	930	225
161	937	219
162	946	214
163	953	209
164	961	203
165	966	197
166	971	191
167	978	186
168	983	180
169	989	174
170	994	168
171	999	162
172	1007	157
173	1012	151
174	1017	145
175	1024	139
176	1029	133
177	1034	127
178	1040	122
179	1045	116
180	1051	110
181	1056	104
182	1061	98
183	1068	92
184	1075	87
185	1080	81
186	1086	75
187	1091	69
188	1097	63
189	1103	58
190	1108	52
191	1115	46
192	1120	40
193	1125	34
194	1131	29
195	1136	23
196	1142	17
197	1147	11
198	1152	5
199	1158	0
